skole;k1;k2;k2a;k2b;k2c;k3;0_opfyldt;1_opfyldt;2_opfyldt;3_opfyldt;sum;karakter
0_5;936;1011;6620;268;468;845;5328;1314;664;50;7356;
6_16;3090;1628;13290;482;819;1448;9874;3415;1155;147;14591;
Ansgarskolen;124;41;11;17;13;35;461;140;24;4;629;66.290.983.442.623
Bakkeskolen;40;151;7;34;110;68;22;91;54;20;187;51.385.714
Bakkevejens_Skole;64;28;10;14;4;35;376;76;21;3;476;605.462.962.222.222
Boldesager_Skole;126;48;7;15;26;62;263;142;44;2;451;740.692.639.393.939
Bryndum_Skole;69;9;2;3;4;21;391;79;10;0;480;699.285.714.285.714
Danmarksgade_Skole;143;76;12;36;28;64;186;141;62;6;395;659.671.052.631.579
Darum_Børneby;16;4;2;1;1;6;81;22;2;0;105;
Egebæk_Hviding;39;20;17;2;1;17;181;46;15;0;242;
Egekratskolen;14;3;3;0;0;8;88;9;8;0;105;
Fourfeldtskolen;137;39;9;8;22;61;567;138;42;5;752;683.026.960.294.118
Gredstedbro;36;9;5;0;4;18;262;37;13;0;312;706.827.729.411.765
Gørding_Skole;56;10;6;3;1;15;243;61;10;0;314;65.924.185
Hjerting_Skole;113;15;10;4;1;14;652;112;12;2;778;798.320.895.522.388
Kvaglundskolen;85;191;10;56;125;145;120;113;133;14;380;667.752.097.058.824
Nordre_Skole;87;25;7;11;7;28;405;91;20;3;519;686.501.210.169.491
Præstegårdsskolen;109;149;12;40;97;145;63;86;115;29;293;557.182.538.095.238
Rørkjær_Skole;185;79;17;26;36;96;453;210;66;6;735;664.821.428.333.333
Skads_Skole;46;21;9;6;6;19;236;54;16;0;306;639.947.088.888.889
Spangsbjergskolen;107;76;19;23;34;67;225;122;49;10;406;694.078.947.368.421
Studie_10;47;32;2;13;17;33;76;46;24;6;152;
Sønderrisskolen;127;16;7;3;6;22;495;122;20;1;638;744.375
Tjæreborg_Skole;74;7;2;0;5;10;378;87;2;0;467;694.285.711.428.571
Vejrup_Skole;17;3;3;0;0;10;81;15;6;1;103;
Vitaskolen;254;65;10;32;23;75;823;262;57;6;1148;803.044.095.774.648
Vittenbergskolen;95;23;18;3;2;31;336;102;22;1;461;688.289.169.354.839
Ådalskolen;57;20;10;1;9;28;154;67;19;0;240;
